ID,TIMESTAMP,OBJID,UTM_X,UTM_Y,UTM_ANGLE,V,ACC,ACC_LAT,ACC_TAN,CLASS,WIDTH,LENGTH,TRAILER_ID
1,0,45763,618146.21,5806260.89,1.51728530717959,4.74,0.4272,0.4172,-0.0915,Car,1.8444,4.5623,
2,0.033367,45763,618146.22,5806261.05,1.51418530717959,4.74,0.4756,0.47,-0.0725,Car,1.8444,4.5623,
3,0.066733,45763,618146.23,5806261.21,1.51138530717959,4.74,0.5246,0.5225,-0.0468,Car,1.8444,4.5623,
4,0.1001,45763,618146.25,5806261.37,1.50878530717959,4.74,0.5733,0.5731,0.0162,Car,1.8444,4.5623,
5,0.133467,45763,618146.26,5806261.53,1.50628530717959,4.74,0.6345,0.6235,0.1177,Car,1.8444,4.5623,
6,0.166833,45763,618146.28,5806261.69,1.50388530717959,4.74,0.7076,0.6711,0.2243,Car,1.8444,4.5623,
7,0.2002,45763,618146.29,5806261.85,1.50148530717959,4.75,0.7919,0.719,0.3318,Car,1.8444,4.5623,
8,0.233567,45763,618146.31,5806262.0,1.49918530717959,4.77,0.8858,0.7658,0.4453,Car,1.8444,4.5623,
9,0.266933,45763,618146.32,5806262.16,1.49668530717959,4.78,0.9854,0.8119,0.5584,Car,1.8444,4.5623,
10,0.3003,45763,618146.34,5806262.32,1.49428530717959,4.8,1.0903,0.8585,0.672,Car,1.8444,4.5623,
11,0.333667,45763,618146.35,5806262.47,1.49168530717959,4.82,1.0783,0.8723,0.6338,Car,1.8444,4.5623,
12,0.367033,45763,618146.37,5806262.63,1.48898530717959,4.85,1.1669,0.9176,0.7208,Car,1.8444,4.5623,
13,0.4004,45763,618146.39,5806262.78,1.48608530717959,4.87,1.2723,0.9627,0.8318,Car,1.8444,4.5623,
14,0.433767,45763,618146.41,5806262.94,1.48308530717959,4.9,1.3744,1.0073,0.935,Car,1.8444,4.5623,
15,0.467133,45763,618146.43,5806263.1,1.47978530717959,4.94,1.4726,1.0517,1.0307,Car,1.8444,4.5623,
16,0.5005,45763,618146.45,5806263.25,1.47638530717959,4.86,0.912,0.7544,0.5124,Car,1.8444,4.5623,
17,0.533867,45763,618146.47,5806263.41,1.47278530717959,4.88,0.9843,0.7988,0.5752,Car,1.8444,4.5623,
18,0.567233,45763,618146.49,5806263.57,1.46888530717959,4.9,1.0468,0.8396,0.6252,Car,1.8444,4.5623,
19,0.6006,45763,618146.51,5806263.73,1.46478530717959,4.92,1.1078,0.876,0.6781,Car,1.8444,4.5623,
20,0.633967,45763,618146.54,5806263.88,1.46048530717959,4.94,1.168,0.9084,0.7343,Car,1.8444,4.5623,
21,0.667333,45763,618146.56,5806264.04,1.45588530717959,4.97,1.2352,0.9362,0.8058,Car,1.8444,4.5623,
22,0.7007,45763,618146.59,5806264.2,1.45098530717959,5.0,1.3079,0.96,0.8883,Car,1.8444,4.5623,
23,0.734067,45763,618146.62,5806264.37,1.44588530717959,5.03,1.3689,0.9802,0.9556,Car,1.8444,4.5623,
24,0.767433,45763,618146.65,5806264.53,1.44048530717959,5.06,1.4145,0.9965,1.0039,Car,1.8444,4.5623,
25,0.8008,45763,618146.68,5806264.69,1.43478530717959,5.09,1.4447,1.0092,1.0338,Car,1.8444,4.5623,
26,0.834167,45763,618146.71,5806264.86,1.42888530717959,5.13,1.4699,1.0183,1.06,Car,1.8444,4.5623,
27,0.867533,45763,618146.74,5806265.02,1.42298530717959,5.17,1.5013,1.0236,1.0983,Car,1.8444,4.5623,
28,0.9009,45763,618146.78,5806265.19,1.41688530717959,5.2,1.5291,1.0254,1.1343,Car,1.8444,4.5623,
29,0.934267,45763,618146.82,5806265.36,1.41038530717959,5.24,1.541,1.0238,1.1517,Car,1.8444,4.5623,
30,0.967633,45763,618146.85,5806265.53,1.40368530717959,5.28,1.5368,1.0189,1.1505,Car,1.8444,4.5623,
31,1.001,45763,618146.9,5806265.7,1.39658530717959,5.32,1.5272,1.0103,1.1453,Car,1.8444,4.5623,
32,1.034367,45763,618146.94,5806265.87,1.38928530717959,5.36,1.5251,0.9984,1.1528,Car,1.8444,4.5623,
33,1.067733,45763,618146.98,5806266.04,1.38168530717959,5.39,1.5187,0.9831,1.1576,Car,1.8444,4.5623,
34,1.1011,45763,618147.03,5806266.22,1.37398530717959,5.43,1.4963,0.9645,1.1439,Car,1.8444,4.5623,
